electrode_array,name,artifact,supplier,x,y,z
AMR5,(AMR5),DG-deleted,AdTech,55,129,43
AMR7,(AMR7),DG-deleted,AdTech,48,130,44
AMR8,(AMR8),DG-deleted,AdTech,45,130,44
AMR10,(AMR10),DG-deleted,AdTech,37,130,46
AMR11,(AMR11),DG-deleted,AdTech,34,130,46
AMR3,(AMR3),DG-deleted,AdTech,63,129,41
AMR4,(AMR4),DG-deleted,AdTech,59,129,42
AMR12,(AMR12),DG-deleted,AdTech,30,130,47
AMR1,(AMR1),DG-deleted,AdTech,70,129,40
AMR2,(AMR2),DG-deleted,AdTech,66,129,41
AMR6,(AMR6),DG-deleted,AdTech,52,129,43
AMR9,(AMR9),DG-deleted,AdTech,41,130,45
HAR3,(HAR3),DG-deleted,AdTech,60,121,45
HAR4,(HAR4),DG-deleted,AdTech,56,121,46
HAR1,(HAR1),DG-deleted,AdTech,68,122,43
HAR5,(HAR5),DG-deleted,AdTech,52,120,47
HAR7,(HAR7),DG-deleted,AdTech,44,119,49
HAR8,(HAR8),DG-deleted,AdTech,40,119,50
HAR10,(HAR10),DG-deleted,AdTech,32,118,52
HAR11,(HAR11),DG-deleted,AdTech,28,118,53
HAR12,(HAR12),DG-deleted,AdTech,24,117,54
HAR2,(HAR2),DG-deleted,AdTech,64,122,44
HAR6,(HAR6),DG-deleted,AdTech,48,120,48
HAR9,(HAR9),DG-deleted,AdTech,36,118,51
HPR4,(HPR4),DG-deleted,AdTech,53,91,59
HPR3,(HPR3),DG-deleted,AdTech,56,92,59
HPR2,(HPR2),DG-deleted,AdTech,60,92,60
HPR6,(HPR6),DG-deleted,AdTech,46,89,59
HPR7,(HPR7),DG-deleted,AdTech,43,89,58
HPR9,(HPR9),DG-deleted,AdTech,36,87,58
HPR11,(HPR11),DG-deleted,AdTech,29,86,57
HPR12,(HPR12),DG-deleted,AdTech,26,85,57
HPR1,(HPR1),DG-deleted,AdTech,63,93,60
HPR5,(HPR5),DG-deleted,AdTech,50,90,59
