electrode_array,name,artifact,supplier,x,y,z,ch. in rec 1
GC5,(GC5),e,AdTech,155,110,69,21: GC5
GB4,(GB4),e,AdTech,153,126,66,12: GB4
GB5,(GB5),e,AdTech,154,120,76,13: GB5
GB6,(GB6),e,AdTech,154,112,87,14: GB6
GB8,(GB8),e,AdTech,151,98,107,16: GB8
GC1,(GC1),e,AdTech,136,136,24,17: GC1
GC3,(GC3),e,AdTech,152,123,48,19: GC3
GC4,(GC4),e,AdTech,155,117,58,20: GC4
GC7,(GC7),e,AdTech,152,95,89,23: GC7
GD3,(GD3),e,AdTech,149,114,43,27: GD3
GC8,(GC8),e,AdTech,152,88,99,24: GC8
GD1,(GD1),e,AdTech,136,124,26,25: GD1
GD5,(GD5),e,AdTech,157,99,64,29: GD5
GD7,(GD7),e,AdTech,154,85,81,31: GD7
GD8,(GD8),e,AdTech,153,80,91,32: GD8
GA1,(GA1),e,AdTech,140,156,43,1: GA1
GB2,(GB2),e,AdTech,145,140,45,10: GB2
GA5,(GA5),e,AdTech,153,129,82,5: GA5
GA6,(GA6),e,AdTech,153,121,93,6: GA6
GA8,(GA8),e,AdTech,151,108,111,8: GA8
GB1,(GB1),e,AdTech,139,146,36,9: GB1
GA2,(GA2),e,AdTech,143,149,53,2: GA2
GA3,(GA3),e,AdTech,148,144,62,3: GA3
GA4,(GA4),e,AdTech,151,136,73,4: GA4
GA7,(GA7),e,AdTech,153,114,103,7: GA7
GB3,(GB3),e,AdTech,150,134,56,11: GB3
GB7,(GB7),e,AdTech,154,105,97,15: GB7
GC2,(GC2),e,AdTech,144,129,38,18: GC2
GC6,(GC6),e,AdTech,155,102,80,22: GC6
GD2,(GD2),e,AdTech,143,119,33,26: GD2
GD4,(GD4),e,AdTech,155,107,54,28: GD4
GD6,(GD6),e,AdTech,157,93,73,30: GD6
TP4,(TP4),l,AdTech,-,-,-,76: TP4
TP3,(TP3),e,AdTech,-,-,-,75: TP3
TP1,(TP1),e,AdTech,119,126,25,73: TP1
TP2,(TP2),e,AdTech,128,132,21,74: TP2
TBA1,(TBA1),e,AdTech,114,91,52,43: TBA1
TBA3,(TBA3),e,AdTech,128,105,40,45: TBA3
TBA4,(TBA4),e,AdTech,137,114,33,46: TBA4
TBA2,(TBA2),e,AdTech,120,98,44,44: TBA2
TBB3,(TBB3),e,AdTech,153,93,42,49: TBB3
TBB4,(TBB4),e,AdTech,151,105,42,50: TBB4
TBB1,(TBB1),e,AdTech,146,70,51,47: TBB1
TBB2,(TBB2),e,AdTech,149,81,48,48: TBB2
TBC3,(TBC3),e,AdTech,140,47,67,53: TBC3
TBC1,(TBC1),e,AdTech,124,31,75,51: TBC1
TBC6,(TBC6),e,AdTech,156,78,56,56: TBC6
TBC4,(TBC4),e,AdTech,146,56,63,54: TBC4
TBC2,(TBC2),e,AdTech,132,38,71,52: TBC2
TBC5,(TBC5),e,AdTech,151,67,59,55: TBC5
HL8,(HL8),i,AdTech,118,90,59,40: HL8
HL9,(HL9),i,AdTech,120,84,63,41: HL9
HL4,(HL4),i,AdTech,113,111,49,36: HL4
HL2,(HL2),i,AdTech,112,122,43,34: HL2
HL5,(HL5),i,AdTech,114,106,52,37: HL5
HL6,(HL6),i,AdTech,115,101,55,38: HL6
HL1,(HL1),e,AdTech,112,127,40,33: HL1
HL3,(HL3),i,AdTech,112,117,46,35: HL3
HL7,(HL7),i,AdTech,117,96,57,39: HL7
HL10,(HL10),e,AdTech,122,77,66,42: HL10
HRA1,(HRA1),l,AdTech,72,124,47,57: HRA1
HRA2,(HRA2),l,AdTech,65,122,51,58: HRA2
HRA3,(HRA3),l,AdTech,57,119,56,59: HRA3
HRA4,(HRA4),l,AdTech,40,114,64,60: HRA4
HRA5,(HRA5),l,AdTech,32,112,68,61: HRA5
HRB1,(HRB1),l,AdTech,70,113,47,63: HRB1
HRB2,(HRB2),l,AdTech,61,110,49,64: HRB2
HRB3,(HRB3),l,AdTech,52,109,49,65: HRB3
HRB4,(HRB4),l,AdTech,33,104,51,66: HRB4
HRB5,(HRB5),l,AdTech,25,102,52,67: HRB5
HRC1,(HRC1),l,AdTech,65,102,57,68: HRC1
HRC2,(HRC2),l,AdTech,56,100,57,69: HRC2
HRC3,(HRC3),l,AdTech,48,97,57,70: HRC3
HRC4,(HRC4),l,AdTech,30,89,58,71: HRC4
HRC5,(HRC5),l,AdTech,22,83,59,72: HRC5
