electrode_array,name,focus_relat,supplier,x,y,z,ch. in rec 1
GA2,(GA2),e,AdTech,145,136,108,2: GA2
GA6,(GA6),e,AdTech,140,97,122,6: GA6
GB1,(GB1),e,AdTech,149,142,96,9: GB1
GB5,(GB5),e,AdTech,145,102,107,13: GB5
GC1,(GC1),e,AdTech,151,138,85,17: GC1
GC4,(GC4),e,AdTech,149,108,96,20: GC4
GC8,(GC8),e,AdTech,138,70,108,24: GC8
GD4,(GD4),i,AdTech,149,103,85,28: GD4
GD6,(GD6),e,AdTech,146,85,93,30: GD6
GD8,(GD8),i,AdTech,139,65,98,32: GD8
GE4,(GE4),i,AdTech,150,99,75,36: GE4
GE8,(GE8),i,AdTech,140,61,88,40: GE8
GF3,(GF3),e,AdTech,151,103,62,43: GF3
GF6,(GF6),e,AdTech,146,75,72,46: GF6
GF8,(GF8),i,AdTech,140,55,76,48: GF8
GG4,(GG4),e,AdTech,150,88,57,52: GG4
GG7,(GG7),e,AdTech,142,62,65,55: GG7
GH2,(GH2),e,AdTech,148,105,42,58: GH2
GH4,(GH4),e,AdTech,150,84,48,60: GH4
GH8,(GH8),e,AdTech,138,48,61,64: GH8
GG8,(GG8),e,AdTech,139,52,69,56: GG8
GE5,(GE5),e,AdTech,148,90,79,37: GE5
GD5,(GD5),e,AdTech,148,94,88,29: GD5
GD7,(GD7),e,AdTech,143,75,96,31: GD7
GE6,(GE6),e,AdTech,147,80,82,38: GE6
GF1,(GF1),e,AdTech,152,125,55,41: GF1
GE7,(GE7),e,AdTech,144,71,87,39: GE7
GE2,(GE2),e,AdTech,151,116,69,34: GE2
GE3,(GE3),i,AdTech,151,107,71,35: GE3
GG1,(GG1),e,AdTech,149,122,47,49: GG1
GB2,(GB2),e,AdTech,147,132,100,10: GB2
GB3,(GB3),e,AdTech,147,122,102,11: GB3
GB4,(GB4),e,AdTech,146,111,106,12: GB4
GB6,(GB6),e,AdTech,142,93,113,14: GB6
GB7,(GB7),e,AdTech,138,83,117,15: GB7
GB8,(GB8),e,AdTech,134,74,119,16: GB8
GC2,(GC2),e,AdTech,151,126,87,18: GC2
GC3,(GC3),e,AdTech,149,118,91,19: GC3
GC5,(GC5),e,AdTech,147,99,98,21: GC5
GC6,(GC6),e,AdTech,145,89,103,22: GC6
GC7,(GC7),e,AdTech,142,79,105,23: GC7
GD1,(GD1),e,AdTech,151,133,75,25: GD1
GD2,(GD2),e,AdTech,151,123,78,26: GD2
GD3,(GD3),i,AdTech,150,112,82,27: GD3
GE1,(GE1),e,AdTech,151,128,65,33: GE1
GF2,(GF2),e,AdTech,151,113,58,42: GF2
GF4,(GF4),e,AdTech,151,93,65,44: GF4
GH5,(GH5),e,AdTech,148,74,50,61: GH5
GH6,(GH6),i,AdTech,145,65,53,62: GH6
GH7,(GH7),e,AdTech,142,57,56,63: GH7
GH3,(GH3),e,AdTech,149,94,45,59: GH3
GF5,(GF5),e,AdTech,149,85,70,45: GF5
GF7,(GF7),e,AdTech,143,66,77,47: GF7
GA3,(GA3),e,AdTech,145,126,112,3: GA3
GA4,(GA4),e,AdTech,144,117,116,4: GA4
GA5,(GA5),e,AdTech,143,107,118,5: GA5
GA7,(GA7),e,AdTech,136,88,124,7: GA7
GA8,(GA8),e,AdTech,131,80,128,8: GA8
GG2,(GG2),e,AdTech,150,110,51,50: GG2
GG3,(GG3),e,AdTech,151,98,54,51: GG3
GG5,(GG5),e,AdTech,148,79,61,53: GG5
GG6,(GG6),i,AdTech,145,70,63,54: GG6
GH1,(GH1),e,AdTech,145,117,38,57: GH1
GA1,(GA1),e,AdTech,145,146,105,1: GA1
OPL5,(OPL5),i,AdTech,122,44,96,95: OPL5
OPL6,(OPL6),i,AdTech,119,47,102,96: OPL6
OPL3,(OPL3),i,AdTech,121,36,80,93: OPL3
OPL4,(OPL4),i,AdTech,123,41,89,94: OPL4
OPL1,(OPL1),e,AdTech,117,30,62,91: OPL1
OPL2,(OPL2),e,AdTech,120,32,71,92: OPL2
OPM3,(OPM3),e,AdTech,103,32,86,87: OPM3
OPM5,(OPM5),e,AdTech,103,43,104,89: OPM5
OPM2,(OPM2),e,AdTech,101,27,75,86: OPM2
OPM6,(OPM6),e,AdTech,104,48,113,90: OPM6
OPM1,(OPM1),e,AdTech,100,24,67,85: OPM1
OPM4,(OPM4),e,AdTech,103,38,96,88: OPM4
TBA1,(TBA1),e,AdTech,114,132,18,65: TBA1
TBA3,(TBA3),e,AdTech,133,123,18,67: TBA3
TBA4,(TBA4),e,AdTech,141,122,27,68: TBA4
TBA2,(TBA2),e,AdTech,123,127,15,66: TBA2
TBB2,(TBB2),i,AdTech,125,85,40,70: TBB2
TBB3,(TBB3),i,AdTech,133,93,38,71: TBB3
TBB4,(TBB4),e,AdTech,142,101,37,72: TBB4
TBB1,(TBB1),e,AdTech,117,81,43,69: TBB1
TBC2,(TBC2),e,AdTech,119,43,46,74: TBC2
TBC3,(TBC3),e,AdTech,129,49,44,75: TBC3
TBC5,(TBC5),i,AdTech,143,61,46,77: TBC5
TBC6,(TBC6),e,AdTech,150,69,52,78: TBC6
TBC1,(TBC1),i,AdTech,110,37,46,73: TBC1
TBC4,(TBC4),i,AdTech,136,54,45,76: TBC4
TBD5,(TBD5),i,AdTech,128,39,50,83: TBD5
TBD6,(TBD6),i,AdTech,134,46,50,84: TBD6
TBD3,(TBD3),e,AdTech,111,28,52,81: TBD3
TBD4,(TBD4),i,AdTech,120,32,51,82: TBD4
TBD1,(TBD1),e,AdTech,92,29,60,79: TBD1
TBD2,(TBD2),e,AdTech,101,27,55,80: TBD2
