Seed,Pair1,Pair2,Pair3,Pair4,Pair5,Pair6,Pair7
GC1-GC2,GD1-GD2,GC2-GC3,BLA3-BLA4,BLA2-BLA3,BLA1-BLA2,HR1-HR2,HR2-HR3
GC2-GC3,GC1-GC2,GD1-GD2,BLA3-BLA4,BLA2-BLA3,BLA1-BLA2,HR2-HR3,HR1-HR2
GD1-GD2,GC1-GC2,GC2-GC3,BLA3-BLA4,BLA2-BLA3,BLA1-BLA2,HR1-HR2,HR2-HR3
HR1-HR2,HR2-HR3,HR3-HR4,HR4-HR5,HR5-HR6,BRA1-BRA2,BRA2-BRA3,BRA3-BRA4
HR2-HR3,HR1-HR2,HR3-HR4,HR4-HR5,HR5-HR6,BRA1-BRA2,BRA2-BRA3,BRA3-BRA4
HR3-HR4,HR2-HR3,HR4-HR5,HR5-HR6,HR1-HR2,BRA2-BRA3,BRA3-BRA4,BRA1-BRA2
HR4-HR5,HR5-HR6,HR3-HR4,HR2-HR3,HR1-HR2,BRA3-BRA4,BRA2-BRA3,BRA1-BRA2
HR5-HR6,HR4-HR5,HR3-HR4,HR2-HR3,HR1-HR2,BRA3-BRA4,BRA2-BRA3,BRA1-BRA2
BLA1-BLA2,BLA2-BLA3,BLA3-BLA4,GC1-GC2,GD1-GD2,GC2-GC3,HR3-HR4,HR2-HR3
BLA2-BLA3,BLA1-BLA2,BLA3-BLA4,GC1-GC2,GD1-GD2,GC2-GC3,HR1-HR2,HR2-HR3
BLA3-BLA4,BLA2-BLA3,GC1-GC2,BLA1-BLA2,GD1-GD2,GC2-GC3,HR1-HR2,HR2-HR3
BLB1-BLB2,BLB2-BLB3,BLB3-BLB4,BLA1-BLA2,BLA2-BLA3,BLA3-BLA4,GC1-GC2,GC2-GC3
BLB2-BLB3,BLB1-BLB2,BLB3-BLB4,BLA1-BLA2,BLA2-BLA3,BLA3-BLA4,GC1-GC2,GC2-GC3
BLB3-BLB4,BLB1-BLB2,BLB2-BLB3,BLA1-BLA2,BLA2-BLA3,BLA3-BLA4,GC1-GC2,GC2-GC3
BRA1-BRA2,BRA2-BRA3,BRA3-BRA4,HR1-HR2,HR2-HR3,HR3-HR4,HR4-HR5,HR5-HR6
BRA2-BRA3,BRA1-BRA2,BRA3-BRA4,HR1-HR2,HR2-HR3,HR3-HR4,HR4-HR5,HR5-HR6
BRA3-BRA4,BRA2-BRA3,BRA1-BRA2,HR1-HR2,HR2-HR3,HR3-HR4,HR4-HR5,HR5-HR6
